Version,Code,Description,Definition,Three_Digit_Code,Three_Digit_Description
1.0,00404,Healthier Lives: Obesity,Healthier Lives: Obesity,004,Healthier Lives
1.0,00501,High Value Nutrition: Metabolic health,High Value Nutrition: Metabolic health,005,High Value Nutrition
1.0,00502,High Value Nutrition: Gastrointestinal health,High Value Nutrition: Gastrointestinal health,005,High Value Nutrition
1.0,00503,High Value Nutrition: Immune health,High Value Nutrition: Immune health,005,High Value Nutrition
1.0,00504,High Value Nutrition: Weaning foods for health,High Value Nutrition: Weaning foods for health,005,High Value Nutrition
1.0,00601,New Zealand's Biological Heritage: Real-time biological heritage assessment,New Zealand's Biological Heritage: Real-time biological heritage assessment,006,New Zealand's Biological Heritage
1.0,00602,New Zealand's Biological Heritage: Reducing risks and threats across landscapes,New Zealand's Biological Heritage: Reducing risks and threats across landscapes,006,New Zealand's Biological Heritage
1.0,00603,New Zealand's Biological Heritage: Enhancing and restoring resilient ecosystems,New Zealand's Biological Heritage: Enhancing and restoring resilient ecosystems,006,New Zealand's Biological Heritage
1.0,00701,Our Land and Water: Greater value in global markets,Our Land and Water: Greater value in global markets,007,Our Land and Water
1.0,00702,"Our Land and Water: Innovative, resilient land and water use","Our Land and Water: Innovative, resilient land and water use",007,Our Land and Water
1.0,00703,Our Land and Water: Collaborative capacity,Our Land and Water: Collaborative capacity,007,Our Land and Water
1.0,00704,Our Land and Water: Operating at the nexus,Our Land and Water: Operating at the nexus,007,Our Land and Water
1.0,00801,Resilience to Nature's Challenges: Rural,Resilience to Nature's Challenges: Rural,008,Resilience to Nature's Challenges
1.0,00802,Resilience to Nature's Challenges: Urban,Resilience to Nature's Challenges: Urban,008,Resilience to Nature's Challenges
1.0,00803,Resilience to Nature's Challenges: Edge,Resilience to Nature's Challenges: Edge,008,Resilience to Nature's Challenges
1.0,00804,Resilience to Nature's Challenges: Mātauranga Māori,Resilience to Nature's Challenges: Mātauranga Māori,008,Resilience to Nature's Challenges
1.0,00805,Resilience to Nature's Challenges: Governance,Resilience to Nature's Challenges: Governance,008,Resilience to Nature's Challenges
1.0,00806,Resilience to Nature's Challenges: Infrastructure,Resilience to Nature's Challenges: Infrastructure,008,Resilience to Nature's Challenges
1.0,00807,Resilience to Nature's Challenges: Economics,Resilience to Nature's Challenges: Economics,008,Resilience to Nature's Challenges
1.0,00808,Resilience to Nature's Challenges: Culture,Resilience to Nature's Challenges: Culture,008,Resilience to Nature's Challenges
1.0,00809,Resilience to Nature's Challenges: Hazard,Resilience to Nature's Challenges: Hazard,008,Resilience to Nature's Challenges
1.0,00810,Resilience to Nature's Challenges: Trajectories,Resilience to Nature's Challenges: Trajectories,008,Resilience to Nature's Challenges
1.0,00901,Science for Technological Innovation: Vision Mātauranga,Science for Technological Innovation: Vision Mātauranga,009,Science for Technological Innovation
1.0,00902,"Science for Technological Innovation: Materials, Manufacturing and Design","Science for Technological Innovation: Materials, Manufacturing and Design",009,Science for Technological Innovation
1.0,00903,"Science for Technological Innovation: Sensors, Robotics and Automation","Science for Technological Innovation: Sensors, Robotics and Automation",009,Science for Technological Innovation
1.0,00904,Science for Technological Innovation: IT Data Analytics and Modelling,Science for Technological Innovation: IT Data Analytics and Modelling,009,Science for Technological Innovation
1.0,01001,Sustainable Seas: Our seas,Sustainable Seas: Our seas,010,Sustainable Seas
1.0,01002,Sustainable Seas: Valuable seas,Sustainable Seas: Valuable seas,010,Sustainable Seas
1.0,01003,Sustainable Seas: Tangaroa,Sustainable Seas: Tangaroa,010,Sustainable Seas
1.0,01004,Sustainable Seas: Dynamic seas,Sustainable Seas: Dynamic seas,010,Sustainable Seas
1.0,01005,Sustainable Seas: Managed seas,Sustainable Seas: Managed seas,010,Sustainable Seas
1.0,01006,Sustainable Seas: Vision Mātauranga,Sustainable Seas: Vision Mātauranga,010,Sustainable Seas
1.0,01101,The Deep South: Engagement,The Deep South: Engagement,011,The Deep South
1.0,01102,The Deep South: Vision Mātauranga,The Deep South: Vision Mātauranga,011,The Deep South
1.0,01103,The Deep South: Impacts and implications,The Deep South: Impacts and implications,011,The Deep South
1.0,01104,The Deep South: Earth system modelling and prediction,The Deep South: Earth system modelling and prediction,011,The Deep South
1.0,01105,The Deep South: Processes and observations,The Deep South: Processes and observations,011,The Deep South
